,Identifier (RIC),Company Name,Country of Exchange,GICS Industry Name,GICS Sub-Industry Name,Exchange Name,Instrument Type,Ticker Symbol,EPS FY1 2020-11-30,EPS FY1 2020-08-31,EPS FY1 2020-05-31,EPS FY1 2020-02-29,EPS FY1 2019-11-30,EPS FY1 2019-08-31,EPS FY1 2019-05-31,EPS FY1 2019-02-28,EPS FY1 2018-11-30,EPS FY1 2018-08-31,EPS FY1 2018-05-31,EPS FY1 2018-02-28,EPS FY1 2017-11-30,EPS FY1 2017-08-31,EPS FY1 2017-05-31,EPS FY2 2020-11-30,EPS FY2 2020-08-31,EPS FY2 2020-05-31,EPS FY2 2020-02-29,EPS FY2 2019-11-30,EPS FY2 2019-08-31,EPS FY2 2019-05-31,EPS FY2 2019-02-28,EPS FY2 2018-11-30,EPS FY2 2018-08-31,EPS FY2 2018-05-31,EPS FY2 2018-02-28,EPS FY2 2017-11-30,EPS FY2 2017-08-31,EPS FY2 2017-05-31,Revenue FY1 2020-11-30,Revenue FY1 2020-08-31,Revenue FY1 2020-05-31,Revenue FY1 2020-02-29,Revenue FY1 2019-11-30,Revenue FY1 2019-08-31,Revenue FY1 2019-05-31,Revenue FY1 2019-02-28,Revenue FY1 2018-11-30,Revenue FY1 2018-08-31,Revenue FY1 2018-05-31,Revenue FY1 2018-02-28,Revenue FY1 2017-11-30,Revenue FY1 2017-08-31,Revenue FY1 2017-05-31,Revenue FY2 2020-11-30,Revenue FY2 2020-08-31,Revenue FY2 2020-05-31,Revenue FY2 2020-02-29,Revenue FY2 2019-11-30,Revenue FY2 2019-08-31,Revenue FY2 2019-05-31,Revenue FY2 2019-02-28,Revenue FY2 2018-11-30,Revenue FY2 2018-08-31,Revenue FY2 2018-05-31,Revenue FY2 2018-02-28,Revenue FY2 2017-11-30,Revenue FY2 2017-08-31,Revenue FY2 2017-05-31
BMRC,BMRC.OQ,Bank of Marin Bancorp,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,BMRC,2.113,1.956,2.006,2.441,2.36783,2.4462,2.60667,2.24417,2.19167,2.085,2.03084,1.6175,1.62917,1.60917,1.69417,1.8064,1.8824,2.038,2.406,2.45083,2.5906,2.73333,2.5075,2.4345,2.31667,2.20334,1.78834,1.75167,1.76417,1.83334,100023400,101241000,95828200,102715750,97603330,100028600,98469330,92033500,91816500,90836330,90242330,75689830,75013000,73828330,74573670,93710200,96593500,96067400,103502250,98648670,104602200,104356500,98666000,97895000,96410670,96394670,88653000,87309330,78964170,79130830
BMTC,BMTC.OQ,Bryn Mawr Bank Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,BMTC,1.36,1.05967,2.7075,3.0775,3.0225,3.0775,3.2275,3.084,3.124,3.144,3.145,2.43,2.395,2.37667,2.3075,2.41667,2.2025,2.975,3.12667,3.12,3.298,3.468,3.394,3.576,3.502,3.486,2.944,2.93,2.915,2.825,145474170,149118800,146281000,149721500,149585200,154532600,152089500,148776600,151026200,150689000,148576400,116988200,124902500,127172500,124755600,140940340,143317800,150662330,152489330,153192200,161331200,159914000,152220800,159359600,159971600,160332800,152938800,155745000,158380250,152730600
BOCH,BOCH.OQ,Bank of Commerce Holdings,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,BOCH,0.715,0.595,0.89,0.843,0.815,0.865,1.07,0.91,0.865,0.8,0.78,0.685,0.63,0.61,0.81,0.5865,0.56,0.9,1.002,1.026,1.0735,1.15,1.075,0.965,0.915,0.9,0.78,0.74,0.725,0.92,59616500,58540000,57497000,58219000,58465000,60018500,61750000,51100000,50750000,50550000,50750000,46150000,46000000,45950000,45000000,58795000,57789000,59391500,60911000,62295000,64740000,65750000,61650000,55050000,54800000,54700000,50050000,50350000,50450000,49600000
BOH,BOH.N,Bank of Hawaii Corp,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,BOH,3.6845,3.662,4.3215,5.55283,5.58017,5.609,5.616,5.28283,5.26163,5.27857,5.21889,4.41857,4.425,4.37125,4.27811,4.11533,4.21667,4.51717,5.40717,5.507,5.74767,5.90229,5.61625,5.672,5.73444,5.70556,4.63714,4.77889,4.71667,4.6523,669748250,682470250,669169500,681508500,678979250,681502750,682738400,658226670,659872500,666179140,668758140,646111430,652669000,650630860,645988630,656480500,673773750,679978250,678648750,690182750,702235500,707641600,686048830,693526290,703757290,706772140,677303430,688778570,685833140,680124750
BOKF,BOKF.OQ,BOK Financial Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,BOKF,4.8958,4.7341,5.681,7.36375,7.3125,7.08363,7.09,6.44,6.815,6.534,6.40418,5.3725,5.39444,5.26727,4.6475,5.1154,4.8939,5.883,7.225,7.45273,7.61191,7.72727,7.20429,7.437,7.33273,6.72636,5.64636,5.56546,5.51182,5.13225,1899663000,1815793700,1792193900,1830350000,1830766640,1809587270,1823326820,1613181550,1592924180,1580519550,1596272180,1549275640,1544887910,1530040360,1499567580,1816165200,1792222900,1815100200,1843291000,1878383180,1876727090,1893895180,1821159730,1852612550,1841274910,1677143360,1614517090,1623425000,1610943730,1582195080
BPFH,BPFH.OQ,Boston Private Financial Holdings Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,BPFH,0.298,0.48333,0.705,0.94333,0.95333,0.95333,0.93833,0.945,0.92857,0.9825,0.95333,0.88857,0.89857,0.87571,0.90143,0.582,0.606,0.7825,0.926,0.934,0.984,1.00167,1.00543,0.98429,1.06571,1.04714,0.92857,0.97143,0.99143,0.99429,235578000,232906000,223627500,228104000,231370000,237282500,240525000,234033330,234135000,240947500,275687500,224865000,222910000,227265000,221681430,231834000,231278000,230605000,229502000,238126000,252815000,249680000,240166670,245287500,259742500,292580000,243427500,240425000,246612860,239734290
BPOP,BPOP.OQ,Popular Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,BPOP,4.1856,3.67433,5.46167,6.74914,6.58275,6.3265,6.00963,4.88067,4.57863,4.1751,3.9045,2.89,3.78556,3.7675,3.63444,4.618,5.0595,5.87533,6.45914,6.56775,6.39,6.41311,5.7093,5.5063,5.1058,4.92488,3.60875,4.19667,4.12667,4.07667,1850020000,1835333330,2156026670,1899748000,1904625000,1905723330,1900246670,1717333330,1681970000,1657300000,1649640000,1495092860,1498112860,1482105710,1460739720,1819040000,1871200000,2223060000,1895478000,1928751670,1952710000,1963132860,1858350000,1790198570,1739802860,1754860000,1542750010,1557951500,1538667380,1512008620
BPRN,BPRN.OQ,Bank Of Princeton,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,BPRN,1.92667,1.69333,1.9,1.49,1.49333,1.8,2.43667,2.14667,2.17,2.315,2.345,2.12,2.215,,,1.40333,1.37333,2.01,2.11333,2.24667,2.52333,2.76333,2.38333,2.47667,2.67333,2.73667,2.33333,2.26,,,49802330,48059000,44423670,42080330,44650000,45650000,46109330,41520330,42221000,43668330,44959330,39345000,39533000,,,48475000,47564000,47696330,46778000,50642000,51223000,51723000,45907000,47410000,49358000,50726000,45519000,45132000,,
BRBS,BRBS.A,Blue Ridge Bankshares Inc,United States of America,Banks,Regional Banks,NYSE MKT LLC,Ordinary Shares,BRBS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKL,BRKL.OQ,Brookline Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,BRKL,0.48633,0.345,0.938,1.098,1.0925,1.16,1.12,1.046,1.05,1.062,1.05,0.792,0.794,0.778,0.822,0.83083,0.77333,1.05,1.16,1.14,1.232,1.206,1.098,1.1694,1.188,1.164,0.976,0.958,0.94,0.98,264199670,269258170,255515000,252669600,253078000,259812600,263842600,246997000,249518500,256316400,258014200,223026800,223363000,220610800,216698400,268559670,266613330,265433200,263290000,263938750,276471000,279969600,258710400,268475250,277492000,277852200,248659000,246116800,239787200,232859000
BSBK,BSBK.OQ,Bogota Financial Corp,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ CAPITAL MARKET,Ordinary Shares,BSBK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSRR,BSRR.OQ,Sierra Bancorp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,BSRR,1.96333,1.76217,1.75667,2.29,2.2658,2.2636,2.14667,1.95333,1.95667,1.955,1.93,1.5025,1.5225,1.372,1.468,1.73867,1.63567,1.74,2.1554,2.2028,2.3058,2.26667,2.18367,2.1635,2.14833,2.1,1.752,1.7375,1.6875,1.584,124887400,122061600,117582800,120788250,120917800,121655400,120936400,114910400,113898800,113080200,112281400,97490250,97210750,95335250,92245600,124584400,121397600,117473600,121597250,123814400,125734200,126646000,122105200,121313600,120021600,118759800,111597750,112067500,110325000,97126400
BSVN,BSVN.OQ,Bank7 Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,BSVN,1.94,1.58667,1.22333,0.84333,1.94667,1.91333,1.90333,2.27667,,,,,,,,1.46,1.40667,1.34667,1.98,1.92667,2.03,2.06,1.80667,,,,,,,,48040670,47408670,40808670,43756000,43286330,43004330,43815000,39670330,,,,,,,,45815670,46920670,41506330,46418330,45806000,46453000,47704330,42079670,,,,,,,
BUSE,BUSE.OQ,First Busey Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,BUSE,1.62743,1.49143,1.77714,1.8885,1.94833,2.08143,2.2175,2.03571,2.045,2.1225,2.2175,1.69143,1.74,1.70875,1.75375,1.46886,1.41143,1.82,2.12371,2.15338,2.32471,2.39625,2.29,2.34,2.345,2.36625,2.08375,2.03375,2.0275,2.04143,398504200,406640000,393712000,404421400,403412170,405742170,408818330,333603330,338070000,340421670,343755000,284796290,285009140,285979570,288358330,376571000,385762000,391554000,410218200,417228500,425815170,425788330,416096670,421716000,356170000,358806670,344112860,344490000,343361290,343811670
BWB,BWB.OQ,Bridgewater Bancshares Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ CAPITAL MARKET,Ordinary Shares,BWB,1.00667,1.00333,0.98667,1.02333,1.02,0.98333,1.03667,0.89,0.915,0.87,,,,,,0.91167,0.91333,1.06333,1.096,1.09333,1.09833,1.15667,1.035,1.055,1.025,,,,,,87931000,90654500,83650000,76829000,76578000,76267500,80600000,68050000,67450000,66800000,,,,,,90445000,92803000,90800000,85495500,91436500,86532000,91500000,80750000,79650000,78650000,,,,,
BWFG,BWFG.OQ,Bankwell Financial Group Inc,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,BWFG,0.97,1.26,1.61,2.42,2.445,2.27833,2.26667,2.37,2.36667,2.31333,2.52,2.03,2.07,1.95,1.9,1.605,1.56,1.935,2.195,2.29,2.32,2.33667,2.27233,2.38,2.35033,2.69,2.55,2.36,2.12,2.23,58031500,59200000,60600000,59750000,59869500,60195670,60143000,60073670,60469670,60106330,64052000,58535000,58997000,58587000,58084000,61653000,62050000,63300000,60200000,61655000,62243000,62860330,61222330,62826000,62776670,71184000,64034000,66505000,64392000,64529000
BXS,BXS.N,BancorpSouth Bank,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,BXS,1.764,1.5075,2.12778,2.27444,2.258,2.35333,2.37871,2.26667,2.23857,2.27,2.17522,1.666,1.66182,1.64417,1.6275,1.6939,1.74233,2.21667,2.41211,2.4203,2.53571,2.54071,2.3641,2.432,2.4596,2.4,1.98364,1.92091,1.9025,1.895,1017869000,987495290,982784130,932891140,930129000,935637000,942381500,865853780,873688440,876006890,864693890,750367220,756477110,767594090,785997460,982157110,982690380,998382290,1000263250,1002295440,1010792290,1017725330,932159670,945434000,947163780,909558670,871680100,875520500,879812360,893334180
BY,BY.N,Byline Bancorp Inc,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,BY,0.81767,0.6675,0.974,1.5625,1.5775,1.62333,1.60833,1.3225,1.184,1.15,1.28,0.9125,0.94,,,0.9666,0.892,0.96,1.482,1.594,1.724,1.76,1.57,1.57667,1.568,1.6225,1.165,1.1425,,,266233330,267300000,262133330,270933330,267955000,265562500,271172500,226300000,223362500,213456670,211200000,173133330,173733330,,,261233330,260866670,262666670,275266670,280123330,281725000,288000000,267397500,258635000,246470000,247050000,215550000,193166670,,
BYFC,BYFC.OQ,Broadway Financial Corp,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ CAPITAL MARKET,Ordinary Shares,BYFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CAC,CAC.OQ,Camden National Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CAC,3.24633,3.21333,2.74,3.5915,3.53,3.675,3.485,3.31,3.325,3.35,3.365,2.68,2.68,2.715,2.735,2.844,2.73,2.75667,3.375,3.26,3.825,3.725,3.49,3.56,3.56,3.59,3.06,2.925,2.945,2.9,181850500,177777000,164660000,168003500,168257000,170723500,167092000,157900000,157799000,158483000,163242500,153599000,154726000,152626000,155292000,169853000,168437500,164552000,167612000,168557000,178886500,175927500,166570500,167906000,168855500,172052000,161928500,164899000,161949000,163918500
CADE,CADE.N,Cadence Bancorp,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,CADE,0.14857,0.9615,1.39867,1.769,1.96625,2.37167,2.1939,2.11333,2.0925,2.028,1.8651,1.44222,1.39111,1.3225,,1.21111,1.25433,1.59811,1.91967,2.05544,2.462,2.398,2.2676,2.30444,2.335,2.0802,1.62444,1.55222,1.53875,,746936000,760841780,743388220,778295440,777178560,802360700,767024200,481478750,482661290,488612400,469586100,425094670,422381000,417156630,,722001000,747585000,755219780,766103330,780746560,832115600,818587000,776135330,789406110,799840380,510550000,463097110,459144560,460535130,
CALB,CALB.OQ,California BanCorp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CALB,0.88,0.88,1.2,1.14,1.35,1.34,,,,,,,,,,1.31,1.31,1.45,1.3,1.54,1.59,,,,,,,,,,49673000,49673000,50587000,45233000,44918000,45574000,,,,,,,,,,51841000,51841000,54147000,50082000,49398000,49852000,,,,,,,,,
CARE,CARE.OQ,Carter Bank and Trust,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CARE,0.45667,0.45,0.86333,1.2,1.155,,,,,,,,,,,0.31,0.29667,1.07333,1.31667,1.3,,,,,,,,,,,127123500,130850000,126530000,128089500,128868000,,,,,,,,,,,130598500,133686000,134293500,134644000,140084000,,,,,,,,,,
CARV,CARV.OQ,Carver Bancorp Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ CAPITAL MARKET,Ordinary Shares,CARV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CASH,CASH.OQ,Meta Financial Group Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CASH,2.73,2.435,3.1475,3.4175,2.765,2.51,2.3925,2.4625,2.07,2.22777,2.548,2.34666,1.445,1.81166,2.04444,2.82225,2.4975,3.075,4.04333,3.39,3.4075,3.4175,3.54667,2.48916,2.8325,3.29,2.83583,2.29,2.72166,2.75083,482833500,484342000,495871330,505533330,491166670,499800000,492266670,500800000,327600000,342633330,339325000,306033330,269063330,274086670,276570000,504296000,515493000,515489000,488300000,528400000,562566670,566866670,584100000,506033330,491600000,475900000,346500000,295286670,329623330,321810000
CATC,CATC.OQ,Cambridge Bancorp,United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,CATC,6.02633,4.595,4.17,6.242,6.195,6.25,,,,,,,,,,5.87125,4.77,4.46,6.2275,6.345,6.78,,,,,,,,,,156833330,141700000,134500000,113868000,96564000,80900000,,,,,,,,,,170315000,151100000,148700000,144013000,107971500,90400000,,,,,,,,,
CATY,CATY.OQ,Cathay General Bancorp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CATY,2.5472,2.47333,2.495,3.47983,3.49143,3.49714,3.49388,3.335,3.29625,3.25375,3.13325,2.48375,2.4525,2.39333,2.34,2.6586,2.71167,2.57,3.3085,3.38286,3.57629,3.63413,3.49763,3.48638,3.42375,3.35063,2.74875,2.67,2.61667,2.558,597420000,596083330,566116670,620285170,620984290,628087570,631603130,598889750,600540000,596305750,591587130,525218750,516683750,511736670,514286000,605200000,607816670,577505000,624463500,634975710,658255140,668195630,641247130,646793630,641891500,640525500,580575000,578010000,565935000,559090000
CBAN,CBAN.OQ,Colony Bankcorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,CBAN,0.97,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,72084000,,,,,,,,,,,,,,,72039000,,,,,,,,,,,,,,
CBFV,CBFV.OQ,CB Financial Services Inc,United States of America,Banks,Regional Banks,NASDAQ/NMS (GLOBAL MARKET),Ordinary Shares,CBFV,1.165,0.98,1.46,2.31,2.1415,2.085,2.095,1.4,1.55,1.875,2.07,1.8,1.71,1.695,1.75,1.2715,1.4975,1.64,2.163,2.15,2.2065,2.225,2.13,2.235,2.4,2.565,0.97,1.845,1.845,1.84,52720500,53285000,52764500,52707000,52943500,52876500,53750000,45947000,45515000,46900000,47838500,37177500,37127500,37097000,37204500,52224500,53282000,53669500,54204000,55943000,56031000,56500000,52000000,51150000,52350000,53450000,46761500,38817000,38776000,38818000
CBMB,CBMB.OQ,CBM Bancorp Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ CAPITAL MARKET,Ordinary Shares,CBMB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CBNK,CBNK.OQ,Capital Bancorp Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CBNK,1.175,1.215,1.155,1.17333,1.11125,1.065,1.0825,1.005,,,,,,,,1.225,1.1625,1.105,1.22333,1.188,1.215,1.23,1.0975,,,,,,,,116400000,106633330,102033330,91250000,86866670,82600000,84333330,74985000,,,,,,,,121633330,110533330,109966670,100700000,98300000,94266670,95600000,86316000,,,,,,,
CBSH,CBSH.OQ,Commerce Bancshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CBSH,2.2557,2.4018,2.9524,3.54162,3.48171,3.48466,3.61115,3.58161,3.52399,3.29829,3.07813,2.50478,2.54048,2.45409,2.40102,3.031,2.97,2.9255,3.37871,3.42724,3.60592,3.75553,3.62907,3.63521,3.42363,3.26448,2.6921,2.68575,2.62999,2.60262,1319120750,1324402250,1325970250,1347536750,1345443130,1350845130,1378976110,1327535380,1327287750,1299203250,1306535000,1244332130,1251472110,1241636670,1237741560,1321690250,1327920380,1338689000,1346171380,1362290500,1392514880,1426308890,1380893780,1380891330,1351335560,1360935110,1297257000,1314092890,1305986780,1305564220
CBTX,CBTX.OQ,CBTX Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CBTX,0.93933,1.15333,1.26333,2.012,1.968,1.88333,1.96667,1.80333,1.75333,1.61333,1.62,1.48667,,,,1.171,1.23,1.40333,1.92,1.916,2.02667,2.09,1.95,1.96667,1.79667,1.79667,1.51333,,,,144655670,149269000,145787670,153222330,154274000,154811670,152630330,138955000,140240000,137262330,135182330,122927000,,,,139724330,149045670,148201000,155244330,159397670,164361330,162677670,151696000,153833000,148905670,145772000,133706000,,,
CBU,CBU.N,Community Bank System Inc,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,CBU,3.0078,2.73875,3.03429,3.26767,3.2415,3.27444,3.23363,3.26778,3.20444,3.10967,2.98667,2.59167,2.565,2.44167,2.49,2.75513,2.69763,3.11429,3.30429,3.3,3.40111,3.39,3.24889,3.23222,3.17456,3.08444,2.74222,2.73556,2.67778,2.70143,598340380,606186130,609643860,588425430,590802630,591174250,591645000,571283890,570698110,571684110,557746750,518671140,522916380,505358290,496971830,605313880,614714000,628837140,619258860,615587380,621939880,623104710,582930670,584361440,587520560,575400380,558954290,570384710,552539290,526111830
CCB,CCB.OQ,Coastal Financial Corp (EVERETT),United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CCB,1.095,1.2,0.93,1.075,1.065,1.0155,1.02,0.8995,0.92,,,,,,,1.275,1.145,1.08,1.205,1.135,1.182,1.22,1.05,1.03,,,,,,,61528000,65263500,55404000,49780500,49745500,48376500,47483000,39454500,39119000,,,,,,,63920500,63903000,60932000,55123000,54604000,52891500,53016000,45647500,44818500,,,,,,
CCBG,CCBG.OQ,Capital City Bank Group Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CCBG,1.61,1.20667,1.37333,1.782,1.708,1.69,1.654,1.22,1.188,1.235,1.38667,0.88333,0.824,0.80667,0.81,1.476,1.4125,1.5225,1.7975,1.722,1.8175,1.852,1.622,1.556,1.55,1.6875,1.29,1.07,1.036,1.058,196912250,168829670,159005000,156396250,155062750,154685750,155429250,144657000,142788670,142732670,143858250,136111500,136031500,134583750,133982750,183936000,167885330,159528670,161690750,159322500,161654250,163668500,155692750,151723000,151125250,152338500,145467000,144249250,142235000,141008500
CCNE,CCNE.OQ,CNB Financial Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CCNE,1.905,1.84333,1.94333,2.625,2.55,2.495,2.505,2.205,2.19,2.14,2.16,1.67,1.6,1.5,1.47,1.7385,2.08,2.25667,2.75,2.595,2.69,2.715,2.455,2.485,2.485,2.56,1.97,1.85,1.85,1.88,127200000,127573330,130830670,117692500,117400000,114920000,118115000,106023500,104194000,112097000,101580000,94495000,94495000,92876000,96205000,132550000,138070330,154675330,128966500,126700000,125128000,126857500,116711000,113746000,122709500,112424000,107151000,107151000,107168000,110343000
CFB,CFB.OQ,Crossfirst Bankshares Inc,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CFB,0.268,0.41975,0.695,0.8125,0.78667,,,,,,,,,,,0.57,0.536,0.885,0.98,0.96667,,,,,,,,,,,173911600,173424250,168064250,151117000,150821000,,,,,,,,,,,173618800,183793000,187177500,175084250,175107000,,,,,,,,,,
CFBI,CFBI.OQ,Community First Bancshares Inc (COVINGTON),United States of America,Banks,Regional Banks,NASDAQ CAPITAL MARKET,Ordinary Shares,CFBI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFBK,CFBK.OQ,CF Bankshares Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ CAPITAL MARKET,Ordinary Shares,CFBK,3.09,,,,,,,,,,,,,,,2.35,,,,,,,,,,,,,,,71700000,,,,,,,,,,,,,,,57400000,,,,,,,,,,,,,,
CFFI,CFFI.OQ,C&F Financial Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CFFI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFFN,CFFN.OQ,Capitol Federal Financial Inc,United States of America,Thrifts & Mortgage Finance,Thrifts & Mortgage Finance,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CFFN,0.45867,0.43333,0.51,0.629,0.69,0.72,0.74,0.755,0.75,0.76,0.76,0.6825,0.64,0.63,0.625,0.527,0.53,0.465,0.651,0.675,0.77,0.76,0.79,0.785,0.79,0.77,0.68667,0.69,0.68,0.6725,192135000,195053670,188240000,225995000,208148000,211804000,214339000,228981500,201041000,202948000,,217479670,197115500,195425000,193066670,191095000,197476670,180310000,238900000,226388000,227289990,220154000,225751010,215427000,220815990,,223516670,204511000,202400010,200533340
CFG,CFG.N,Citizens Financial Group Inc,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,CFG,1.78824,0.84947,3.48405,3.78626,3.79975,3.848,3.87638,3.5153,3.48319,3.4358,3.37013,2.59137,2.5366,2.44445,2.28665,2.47838,2.77235,3.73263,3.88865,3.97057,4.14387,4.1748,3.87195,3.81843,3.79367,3.73959,2.8883,2.7905,2.76546,2.68068,6807964000,6672078130,6533830870,6482468130,6478540940,6519777060,6539675560,6136608890,6135970330,6097363310,6091920470,5674838110,5655876050,5668914110,5593092650,6596635180,6617105940,6687961000,6554434440,6610248240,6769765000,6823695500,6535259670,6530278610,6444999070,6442422720,6014022530,5992684260,6025215560,5987696110
CFR,CFR.N,Cullen/Frost Bankers Inc,United States of America,Banks,Regional Banks,"NEW YORK STOCK EXCHANGE, INC.",Ordinary Shares,CFR,4.5218,3.45414,5.06362,6.83769,6.83643,7.00167,7.10506,6.83194,6.77494,6.69944,6.32894,5.36438,5.21941,5.29294,5.07124,4.18747,4.21593,5.21223,6.12546,6.56286,7.13607,7.31793,7.17106,7.38847,7.28,6.87513,5.86125,5.68625,5.80813,5.6162,1429038000,1543364250,1459245860,1457060000,1456577500,1481841630,1494526220,1400472110,1399845890,1407802330,1396478110,1376336440,1318196540,1316881430,1275622920,1380430000,1397531130,1502542430,1476025140,1478532000,1542629890,1567631800,1495306000,1492054900,1506144110,1491620440,1450047440,1393257690,1399235790,1367848250
CHCO,CHCO.OQ,City Holding Co,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CHCO,4.634,4.21,4.56667,5.364,5.36267,5.30417,5.25,5.054,4.908,4.642,4.566,3.844,3.872,3.676,3.422,3.816,4.11667,4.454,5.2006,5.29167,5.41833,5.442,5.06,5.006,4.814,4.74,4.016,3.918,3.82,3.784,230162330,227009500,219373200,229464500,230925800,230512600,231466670,200328500,199516500,195218750,193607250,187804750,188150500,188241750,184861250,218232400,219192800,220273400,231347000,234231200,237875600,240000000,227886250,226726250,203358000,202726250,193943250,194693500,196303750,195136250
CHMG,CHMG.OQ,Chemung Financial Corp,United States of America,Banks,Regional Banks,NASDAQ/NGS (GLOBAL SELECT MARKET),Ordinary Shares,CHMG,3.1175,2.245,2.73,3.3125,3.2,3.86,3.865,3.705,3.44,3.67,3.61,2.92,2.83,2.63,2.55,2.87575,2.5775,2.8525,3.77525,3.85,3.91,4.02,3.8,3.755,3.85,3.77,3.59,3.31,3.16,3.06,82296670,81706670,77643330,61001500,61223330,61080000,61285000,60525000,71590000,83050000,82040000,76910000,75880000,75110000,72960000,82252000,81870000,79816670,61732250,62773330,62390000,63620000,62140000,74370000,86160000,85480000,80800000,79320000,78420000,76560000
