,,date,deposits,assets,noninterestexpense,interestexpense,noninterestincome,stockholdersequity
FITB,31,2011-06-30,80598000000.0,110805000000.000000,1819000000.0,362000000.0,1240000000.0,12572000000.0
FITB,32,2011-03-31,82317000000.0,110485000000.000000,918000000.0,181000000.0,584000000.0,12163000000.0
FITB,33,2010-12-31,81648000000.0,111007000000.000000,3855000000.0,885000000.0,2729000000.0,14051000000.0
FITB,34,2010-09-30,81362000000.0,112322000000.000000,2869000000.0,695000000.0,2074000000.0,13884000000.0
FITB,35,2010-06-30,82115000000.0,112025000000.000000,1891000000.0,480000000.0,1247000000.0,13701000000.0
FITB,36,2010-03-31,83574000000.0,112651000000.000000,956000000.0,246000000.0,627000000.0,13408000000.0
FITB,37,2009-12-31,84305000000.0,113380000000.000000,3826000000.0,1314000000.0,4782000000.0,13497000000.0
FITB,38,2009-09-30,79358000000.0,110740000000.000000,,,,13688000000.0
FITB,39,2009-06-30,80820000000.0,115984000000.000000,,,,13700000000.0
MTB,0,2020-09-30,115163339000.000000,138626743000.000000,2540232000.0,276785000.0,1537194000.0,16101013000.0
MTB,1,2020-06-30,114967959000.000000,139536969000.000000,1713458000.0,218719000.0,1016633000.0,15945105000.0
MTB,2,2020-03-31,100183308000.000000,124577833000.000000,906416000.0,143614000.0,529360000.0,15815794000.0
MTB,3,2019-12-31,94770069000.0,119872757000.000000,3468682000.0,749329000.0,2061679000.0,15716649000.0
MTB,4,2019-09-30,95113933000.0,125500926000.000000,2644999000.0,572260000.0,1540639000.0,15779811000.0
MTB,5,2019-06-30,91681024000.0,121554895000.000000,1767380000.0,372681000.0,1012860000.0,15691827000.0
MTB,6,2019-03-31,90469750000.0,120025205000.000000,894348000.0,176249000.0,500765000.0,15587529000.0
MTB,7,2018-12-31,90156572000.0,120097403000.000000,3288062000.0,526409000.0,1856000000.0,15460191000.0
MTB,8,2018-09-30,89140396000.0,116827637000.000000,2485900000.0,365088000.0,1375404000.0,15436085000.0
MTB,9,2018-06-30,89272588000.0,118426053000.000000,1709921000.0,226751000.0,916110000.0,15577885000.0
MTB,10,2018-03-31,90946630000.0,118622824000.000000,933344000.0,106633000.0,458696000.0,15709694000.0
MTB,11,2017-12-31,92432146000.0,118593487000.000000,3140325000.0,386751000.0,1851143000.0,16250819000.0
MTB,12,2017-09-30,93513393000.0,120401804000.000000,2344512000.0,284062000.0,1367090000.0,16318052000.0
MTB,13,2017-06-30,93540938000.0,120896567000.000000,1538487000.0,183986000.0,907661000.0,16283537000.0
MTB,14,2017-03-31,97042521000.0,123223251000.000000,787852000.0,91773000.0,446845000.0,16213104000.0
MTB,15,2016-12-31,95493876000.0,123449206000.000000,3047485000.0,425984000.0,1825996000.0,16486622000.0
MTB,16,2016-09-30,98136845000.0,126841028000.000000,2278382000.0,318847000.0,1360537000.0,16340976000.0
MTB,17,2016-06-30,94650103000.0,123820584000.000000,1525990000.0,207672000.0,869187000.0,16471514000.0
MTB,18,2016-03-31,94214576000.0,124625632000.000000,776095000.0,100870000.0,420933000.0,16355053000.0
MTB,19,2015-12-31,91957841000.0,122787884000.000000,2822932000.0,328257000.0,1825037000.0,16173289000.0
MTB,20,2015-09-30,72944543000.0,97797062000.0,2036819000.0,232924000.0,1376929000.0,12921934000.0
MTB,21,2015-06-30,72629619000.0,97080076000.0,1383003000.0,155725000.0,937230000.0,12667997000.0
MTB,22,2015-03-31,73594120000.0,98377783000.0,686375000.0,78499000.0,440203000.0,12528301000.0
MTB,23,2014-12-31,73582053000.0,96685535000.0,2742857000.0,280431000.0,1779273000.0,12335896000.0
MTB,24,2014-09-30,74341502000.0,97228342000.0,2062749000.0,205659000.0,1327630000.0,12333316000.0
MTB,25,2014-06-30,69829255000.0,90835002000.0,1383465000.0,131695000.0,876519000.0,12168755000.0
MTB,26,2014-03-31,68699366000.0,88530360000.0,702271000.0,66519000.0,420107000.0,11886863000.0
MTB,27,2013-12-31,67118612000.0,85162391000.0,2635885000.0,284105000.0,1865205000.0,11305532000.0
MTB,28,2013-09-30,66552141000.0,84427485000.0,1892813000.0,216123000.0,1418959000.0,11016202000.0
MTB,29,2013-06-30,65661470000.0,83229005000.0,1234187000.0,146545000.0,941571000.0,10716330000.0
MTB,30,2013-03-31,65089726000.0,82811957000.0,635596000.0,73925000.0,432882000.0,10422957000.0
MTB,31,2012-12-31,65611253000.0,83008803000.0,2509260000.0,343169000.0,1667270000.0,10202593000.0
MTB,32,2012-09-30,64007258000.0,81085233000.0,1883114000.0,265238000.0,1214106000.0,9945527000.0
MTB,33,2012-03-31,,,,,,
MTB,34,2011-12-31,,,,,,
MTB,35,2011-09-30,,,,,,
MTB,36,2011-06-30,,,,,,
MTB,37,2011-03-31,,,,,,
MTB,38,2010-12-31,,,,,,
MTB,39,2010-09-30,,,,,,
MTB,40,2010-06-30,,,,,,
MTB,41,2010-03-31,,,,,,
MTB,42,2009-12-31,,,,,,
KEY,0,2020-09-30,136746000000.000000,170540000000.000000,2981000000.0,561000000.0,1850000000.0,17722000000.0
KEY,1,2020-06-30,135513000000.000000,171192000000.000000,1944000000.0,442000000.0,1169000000.0,17542000000.0
KEY,2,2020-03-31,115304000000.000000,156197000000.000000,931000000.0,270000000.0,477000000.0,17411000000.0
KEY,3,2019-12-31,111870000000.000000,144988000000.000000,3901000000.0,1326000000.0,2459000000.0,17038000000.0
KEY,4,2019-09-30,111649000000.000000,146691000000.000000,2921000000.0,1020000000.0,1808000000.0,17116000000.0
KEY,5,2019-06-30,109946000000.000000,144545000000.000000,1982000000.0,675000000.0,1158000000.0,16969000000.0
KEY,6,2019-03-31,108175000000.000000,141515000000.000000,963000000.0,327000000.0,536000000.0,15924000000.0
KEY,7,2018-12-31,107309000000.000000,139613000000.000000,3975000000.0,969000000.0,2515000000.0,15595000000.0
KEY,8,2018-09-30,105780000000.000000,138805000000.000000,2963000000.0,672000000.0,1870000000.0,15208000000.0
KEY,9,2018-06-30,104548000000.000000,137792000000.000000,1999000000.0,419000000.0,1261000000.0,15100000000.0
KEY,10,2018-03-31,104751000000.000000,137049000000.000000,1006000000.0,193000000.0,601000000.0,14944000000.0
KEY,11,2017-12-31,105235000000.000000,137700000000.000000,4098000000.0,613000000.0,2478000000.0,15023000000.0
KEY,12,2017-09-30,103446000000.000000,136733000000.000000,3000000000.0,437000000.0,1822000000.0,15249000000.0
KEY,13,2017-06-30,102821000000.000000,135824000000.000000,2008000000.0,276000000.0,1230000000.0,15253000000.0
KEY,14,2017-03-31,103982000000.000000,134476000000.000000,1013000000.0,132000000.0,577000000.0,14976000000.0
KEY,15,2016-12-31,104087000000.000000,136500000000.000000,3756000000.0,400000000.0,2071000000.0,15240000000.0
KEY,16,2016-09-30,104185000000.000000,135805000000.000000,2536000000.0,276000000.0,1453000000.0,14996000000.0
KEY,17,2016-06-30,75325000000.0,101150000000.000000,1454000000.0,166000000.0,904000000.0,11313000000.0
KEY,18,2016-03-31,73382000000.0,98402000000.0,703000000.0,79000000.0,431000000.0,11066000000.0
KEY,19,2015-12-31,71046000000.0,95133000000.0,2840000000.0,274000000.0,1880000000.0,10746000000.0
KEY,20,2015-09-30,71073000000.0,95422000000.0,2104000000.0,203000000.0,1395000000.0,10705000000.0
KEY,21,2015-06-30,70669000000.0,94606000000.0,1380000000.0,133000000.0,925000000.0,10590000000.0
KEY,22,2015-03-31,71622000000.0,94206000000.0,669000000.0,65000000.0,437000000.0,10603000000.0
KEY,23,2014-12-31,71998000000.0,93821000000.0,2759000000.0,261000000.0,1797000000.0,10530000000.0
KEY,24,2014-09-30,68456000000.0,89784000000.0,2055000000.0,197000000.0,1307000000.0,10486000000.0
